from,to,relationship,year,winner
saalge,lambsdorff,1,99,99
hako,stelljes,1,99,99
tomo,lambsdorff,1,99,99
mima,agenten,1,99,99
kikhra,talent,1,99,99
frro,players,1,99,99
buyi,underplay,1,99,99
mama,yumi,1,99,99
sebl,agenten,1,99,99
kasc,players,1,99,99
dest,agenten,1,99,99
anbi,fitz,1,99,99
mabr,britta,1,99,99
masc,funke,1,99,99
sari,tavistock,1,99,99
pabe,lambsdorff,1,99,99
kedu,schlag,1,99,99
svno,scandinavia,1,99,99
victoria,frro,2,2015,1
victoria,buyi,2,2015,1
victoria,mama,2,2015,1
victoria,laco,2,2015,2
victoria,felau,2,2015,2
jack,ivpi,2,2015,1
jack,gear,2,2015,1
zeit,sebl,2,2015,1
zeit,kasc,2,2015,1
zeit,dest,2,2015,1
heimat,anbi,2,2014,1
heimat,mabr,2,2014,1
heimat,jadisc,2,2014,1
heimat,masc,2,2014,1
tal,sari,2,2014,1
tal,pabe,2,2014,1
zwei,kedu,2,2014,1
zwei,svno,2,2014,1
zwei,jukö,2,2014,1
jötr,westen,2,2014,2
caju,feucht,2,2014,1
jukö,zwei,2,2014,1
diha,rennen,2,2014,2
saalge,jahre,2,2014,1
hako,fall,2,2014,1
sahü,finster,3,2014,2
jeha,fack,3,2014,1
kari,fack,3,2014,1
mima,finster,3,2014,1
kikhra,ummah,3,2014,1
kamasc,geschenk,2,2015,1
niho,phoenix,2,2015,1
cfri,welt,2,2015,1
hako,härte,2,2015,1
niku,phoenix,3,2015,2
clme,schwestern,3,2015,1
mebe,lügen,3,2015,1
joba,jung,3,2015,2
bukl,welt,3,2015,1
gevo,labyrinth,3,2015,1
tomo,tal,3,2014,2
