from,to,relationship,year,winner
melka,stelljes,1,99,99
urst,agenten,1,99,99
jeha,lastrada,1,99,99
ansc,vogel,1,99,99
sahü,schneider,1,99,99
fadi,adam,1,99,99
jösc,ensemble,1,99,99
hehü,hübchen,1,99,99
frro,players,1,99,99
gefr,divina,1,99,99
lieber,albs,2,2022,2
rabiye,melka,2,2022,2
freiheit,frro,2,2022,1
freiheit,gefr,2,2022,1
fadi,tou,2,2022,1
schwarz,sahü,3,2022,1
leander,hehü,3,2022,1
lieber,jeha,3,2022,2
lieber,ansc,3,2022,1
rabiye,alsc,3,2022,2
lieber,jösc,3,2022,1
lauto,heppeler,1,99,99
liwe,reimann,1,99,99
anki,rudorff,1,99,99
roth,players,1,99,99
peku,schott,1,99,99
olma,players,1,99,99
roze,players,1,99,99
fabu,above,1,99,99
jani,agenten,1,99,99
jeha,lastrada,1,99,99
pabe,lambsdorff,1,99,99
mole,könige,2,2016,1
jani,könige,2,2016,1
jeha,könige,2,2016,1
pabe,könige,2,2016,1
peku,herbert,2,2016,2
bukl,staat,2,2016,1
olma,wieder,2,2016,1
lauto,heidi,2,2016,2
jötr,atem,2,2016,1
roth,grüsse,2,2016,1
lauto,mängel,2,2016,1
miny,colonia,2,2016,1
fabu,wieder,2,2016,1
liwe,herbert,2,2016,1
roze,staat,2,2016,2
anki,könige,2,2016,1
saro,niemand,2,2022,1
urst,prince,2,2022,1
safa,nico,2,2022,1
